"filename", "language", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "JSON", "Java Properties", "XML", "Markdown", "comment", "blank", "total"
"d:\ResQLink\ResQLink\resqlink_frontend\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 10, 5, 73
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\ResQLink\ResQLink\resqlink_frontend\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\ResQLink\ResQLink\resqlink_frontend\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 548, 0, 0, 0, 0, 0, 0, 0, 2, 114, 664
"d:\ResQLink\ResQLink\resqlink_frontend\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\ResQLink\ResQLink\resqlink_frontend\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\ResQLink\ResQLink\resqlink_frontend\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\ResQLink\ResQLink\resqlink_frontend\ios\Runner\SceneDelegate.swift", "Swift", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\ResQLink\ResQLink\resqlink_frontend\lib\main.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 12, 78
"d:\ResQLink\ResQLink\resqlink_frontend\lib\models\app_models.dart", "Dart", 0, 0, 0, 309, 0, 0, 0, 0, 0, 0, 11, 26, 346
"d:\ResQLink\ResQLink\resqlink_frontend\lib\modules\auth\auth_screens.dart", "Dart", 0, 0, 0, 1521, 0, 0, 0, 0, 0, 0, 52, 85, 1658
"d:\ResQLink\ResQLink\resqlink_frontend\lib\modules\customer\customer_shell.dart", "Dart", 0, 0, 0, 3110, 0, 0, 0, 0, 0, 0, 134, 180, 3424
"d:\ResQLink\ResQLink\resqlink_frontend\lib\modules\donor\donor_shell.dart", "Dart", 0, 0, 0, 2438, 0, 0, 0, 0, 0, 0, 106, 125, 2669
"d:\ResQLink\ResQLink\resqlink_frontend\lib\modules\driver\driver_shell.dart", "Dart", 0, 0, 0, 3066, 0, 0, 0, 0, 0, 0, 137, 206, 3409
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\app_service.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\auth_service.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 7, 13, 88
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\donation_service.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 16, 14, 105
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\hospital_location_service.dart", "Dart", 0, 0, 0, 418, 0, 0, 0, 0, 0, 0, 33, 58, 509
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\location_service.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 18, 15, 96
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\mock_otp_service.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 6, 44
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\profile_service.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 15, 13, 96
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\request_service.dart", "Dart", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 28, 33, 271
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\storage_service.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 22, 26, 136
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\trip_service.dart", "Dart", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 21, 23, 235
